@relation kruTB-weka.filters.unsupervised.attribute.NumericToNominal-R1-13_clustered

@attribute Instance_number numeric
@attribute Estimated_incidence_of_all_forms_of_tuberculosis {2.1,2.3,2.6,2.8,2.9,3,3.1,3.2,3.3,3.5,3.6,3.7,3.8,3.9}
@attribute Entity {Israel,'United States',Slovakia,Sweden,Hungary,Czechia}
@attribute Code {ISR,USA,SVK,SWE,HUN,CZE}
@attribute Year {1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019}
@attribute Deaths_Tuberculosis_Sex_Both_Age_70_years_Number {14,15,16,17,18,19,20,22,23,25,26,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,46,47,49,50,51,52,53,54,55,56,57,62,63,68,69,70,71,72,76,77,78,81,82,86,89,92,95,98,102,105,107,113,116,118,119,121,127,128,140,149,150,151,152,155,156,164,167,168,174,184,197,212,251,290,300,477,479,483,485,490,496,501,512,518,536,543,561,564,587,611,655,705,748,799,878,906,941,986,1029,1064,1106,1124,1168,1208}
@attribute Deaths_Tuberculosis_Sex_Both_Age_50_69_years_Number {4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,32,33,36,37,38,39,40,42,47,49,55,57,58,63,65,67,75,85,102,112,120,134,174,205,210,278,280,283,285,286,288,293,294,301,304,310,312,314,317,323,333,362,375,392,419,454,487,525,554,599,640}
@attribute Deaths_Tuberculosis_Sex_Both_Age_15_49_years_Number {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,22,23,27,28,30,32,35,47,52,53,91,93,94,95,97,98,99,102,110,117,125,135,140,145,156,164,170,179,200,220,240,262,286,312,340,361,387,405}
@attribute Deaths_Tuberculosis_Sex_Both_Age_5_14_years_Number {0,1,2,3,4,5,6}
@attribute Deaths_Tuberculosis_Sex_Both_Age_Under_5_Number {0,1,2,3,4,5,6,7,8,9,10,11,12,13}
@attribute Indicator_Treatment_success_rate_new_TB_cases {66,67,69,70,71,73,74,75,77,78,79,80,81,83,84,85,87,88,89,90,91,92}
@attribute Indicator_Treatment_success_rate_for_patients_treated_for_MDR_TB {0,33,36,38,40,44,55,57,60,64,67,69,70,71,75,77,78,79,80,83,91,92,94,100}
@attribute Indicator_Treatment_success_rate_XDR_TB_cases {0,43,50,60,100}
@attribute Case_detection_rate_all_forms {87}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0,2.1,Israel,ISR,1990,33,11,6,0,0,87,71,0,87,cluster1
1,2.1,Israel,ISR,1991,36,11,6,0,0,84,33,0,87,cluster1
2,2.1,Israel,ISR,1992,40,12,7,0,1,87,71,0,87,cluster1
3,2.1,Israel,ISR,1993,44,13,7,0,1,87,71,0,87,cluster1
4,2.1,Israel,ISR,1994,49,13,8,0,1,78,64,50,87,cluster1
5,2.1,Israel,ISR,1994,49,13,8,0,1,83,80,100,87,cluster2
6,2.1,Israel,ISR,1994,49,13,8,0,1,84,57,0,87,cluster1
7,2.1,Israel,ISR,1994,49,13,8,0,1,88,91,100,87,cluster2
8,2.1,Israel,ISR,1995,53,14,8,0,0,81,92,100,87,cluster1
9,2.1,Israel,ISR,1995,53,14,8,0,0,83,80,100,87,cluster2
10,2.1,Israel,ISR,1995,53,14,8,0,0,84,57,0,87,cluster1
11,2.1,Israel,ISR,1995,53,14,8,0,0,88,91,100,87,cluster2
12,2.1,Israel,ISR,1996,55,14,8,0,0,87,71,0,87,cluster1
13,2.1,Israel,ISR,1997,56,14,9,0,0,84,33,0,87,cluster1
14,2.1,Israel,ISR,1998,54,14,9,0,0,84,33,0,87,cluster1
15,2.1,Israel,ISR,1999,52,13,8,0,0,78,64,50,87,cluster1
16,2.1,Israel,ISR,1999,52,13,8,0,0,89,75,50,87,cluster1
17,2.1,Israel,ISR,2000,49,12,8,0,0,79,67,100,87,cluster2
18,2.1,Israel,ISR,2000,49,12,8,0,0,84,33,0,87,cluster1
19,2.1,Israel,ISR,2000,49,12,8,0,0,89,75,50,87,cluster1
20,2.1,Israel,ISR,2001,44,11,7,0,0,87,71,0,87,cluster1
21,2.1,Israel,ISR,2002,41,10,7,0,0,84,33,0,87,cluster1
22,2.1,Israel,ISR,2003,38,9,6,0,0,78,64,50,87,cluster1
23,2.1,Israel,ISR,2003,38,9,6,0,0,89,75,50,87,cluster1
24,2.1,Israel,ISR,2004,34,8,5,0,0,78,64,50,87,cluster1
25,2.1,Israel,ISR,2004,34,8,5,0,0,79,67,100,87,cluster2
26,2.1,Israel,ISR,2004,34,8,5,0,0,89,75,50,87,cluster1
27,2.1,Israel,ISR,2005,32,8,5,0,0,84,33,0,87,cluster1
28,2.1,Israel,ISR,2006,30,7,4,0,0,78,64,50,87,cluster1
29,2.1,Israel,ISR,2006,30,7,4,0,0,81,92,100,87,cluster2
30,2.1,Israel,ISR,2006,30,7,4,0,0,83,80,100,87,cluster2
31,2.1,Israel,ISR,2006,30,7,4,0,0,84,57,0,87,cluster1
32,2.1,Israel,ISR,2006,30,7,4,0,0,88,91,100,87,cluster2
33,2.1,Israel,ISR,2007,28,7,4,0,0,78,64,50,87,cluster1
34,2.1,Israel,ISR,2007,28,7,4,0,0,81,92,100,87,cluster2
35,2.1,Israel,ISR,2007,28,7,4,0,0,83,80,100,87,cluster2
36,2.1,Israel,ISR,2007,28,7,4,0,0,84,57,0,87,cluster1
37,2.1,Israel,ISR,2007,28,7,4,0,0,88,91,100,87,cluster2
38,2.1,Israel,ISR,2008,26,6,3,0,0,87,71,0,87,cluster1
39,2.1,Israel,ISR,2009,23,5,3,0,0,87,71,0,87,cluster1
40,2.1,Israel,ISR,2010,22,5,3,0,0,78,64,50,87,cluster2
41,2.1,Israel,ISR,2010,22,5,3,0,0,83,80,100,87,cluster2
42,2.1,Israel,ISR,2010,22,5,3,0,0,84,57,0,87,cluster1
43,2.1,Israel,ISR,2010,22,5,3,0,0,88,91,100,87,cluster2
44,2.1,Israel,ISR,2011,20,5,3,0,0,78,64,50,87,cluster2
45,2.1,Israel,ISR,2011,20,5,3,0,0,83,80,100,87,cluster2
46,2.1,Israel,ISR,2011,20,5,3,0,0,84,57,0,87,cluster1
47,2.1,Israel,ISR,2011,20,5,3,0,0,88,91,100,87,cluster2
48,2.1,Israel,ISR,2012,19,5,2,0,0,79,67,100,87,cluster2
49,2.1,Israel,ISR,2012,19,5,2,0,0,84,33,0,87,cluster1
50,2.1,Israel,ISR,2012,19,5,2,0,0,89,75,50,87,cluster2
51,2.1,Israel,ISR,2013,18,5,2,0,0,79,67,100,87,cluster2
52,2.1,Israel,ISR,2013,18,5,2,0,0,89,75,50,87,cluster2
53,2.1,Israel,ISR,2014,17,4,2,0,0,87,71,0,87,cluster1
54,2.1,Israel,ISR,2015,17,5,2,0,0,81,92,100,87,cluster2
55,2.1,Israel,ISR,2015,17,5,2,0,0,84,57,0,87,cluster1
56,2.1,Israel,ISR,2016,16,4,2,0,0,81,92,100,87,cluster2
57,2.1,Israel,ISR,2016,16,4,2,0,0,83,80,100,87,cluster2
58,2.1,Israel,ISR,2016,16,4,2,0,0,84,57,0,87,cluster1
59,2.1,Israel,ISR,2016,16,4,2,0,0,88,91,100,87,cluster2
60,2.1,Israel,ISR,2017,17,5,2,0,0,78,64,50,87,cluster2
61,2.1,Israel,ISR,2017,17,5,2,0,0,89,75,50,87,cluster2
62,2.1,Israel,ISR,2018,18,5,2,0,0,79,67,100,87,cluster2
63,2.1,Israel,ISR,2018,18,5,2,0,0,84,33,0,87,cluster1
64,2.1,Israel,ISR,2019,19,5,2,0,0,78,64,50,87,cluster2
65,2.1,Israel,ISR,2019,19,5,2,0,0,81,92,100,87,cluster2
66,2.1,Israel,ISR,2019,19,5,2,0,0,83,80,100,87,cluster2
67,2.1,Israel,ISR,2019,19,5,2,0,0,84,57,0,87,cluster1
68,2.1,Israel,ISR,2019,19,5,2,0,0,88,91,100,87,cluster2
69,2.3,'United States',USA,1990,1208,640,405,6,13,80,69,100,87,cluster0
70,2.3,'United States',USA,1990,1208,640,405,6,13,83,79,100,87,cluster0
71,2.3,'United States',USA,1991,1168,599,387,6,12,85,78,0,87,cluster0
72,2.3,'United States',USA,1992,1124,554,361,5,11,66,70,0,87,cluster0
73,2.3,'United States',USA,1992,1124,554,361,5,11,80,79,60,87,cluster3
74,2.3,'United States',USA,1993,1106,525,340,5,10,66,70,0,87,cluster0
75,2.3,'United States',USA,1993,1106,525,340,5,10,80,79,60,87,cluster3
76,2.3,'United States',USA,1994,1064,487,312,5,9,80,69,100,87,cluster0
77,2.3,'United States',USA,1994,1064,487,312,5,9,83,79,100,87,cluster0
78,2.3,'United States',USA,1995,1029,454,286,5,8,80,69,100,87,cluster0
79,2.3,'United States',USA,1995,1029,454,286,5,8,83,69,100,87,cluster0
80,2.3,'United States',USA,1995,1029,454,286,5,8,83,79,100,87,cluster0
81,2.3,'United States',USA,1996,986,419,262,4,7,85,78,0,87,cluster0
82,2.3,'United States',USA,1997,941,392,240,4,7,85,78,0,87,cluster0
83,2.3,'United States',USA,1998,906,375,220,4,6,77,77,100,87,cluster0
84,2.3,'United States',USA,1999,878,362,200,3,6,66,70,0,87,cluster0
85,2.3,'United States',USA,1999,878,362,200,3,6,83,69,100,87,cluster0
86,2.3,'United States',USA,2000,799,333,179,3,5,66,70,0,87,cluster0
87,2.3,'United States',USA,2000,799,333,179,3,5,83,69,100,87,cluster0
88,2.3,'United States',USA,2001,748,323,170,3,5,80,69,100,87,cluster0
89,2.3,'United States',USA,2001,748,323,170,3,5,83,69,100,87,cluster0
90,2.3,'United States',USA,2001,748,323,170,3,5,83,79,100,87,cluster0
