Estimated_incidence_of_all_forms_of_tuberculosis,Entity,Code,Year,Deaths_Tuberculosis_Sex_Both_Age_70_years_Number,Deaths_Tuberculosis_Sex_Both_Age_50_69_years_Number,Deaths_Tuberculosis_Sex_Both_Age_15_49_years_Number,Deaths_Tuberculosis_Sex_Both_Age_5_14_years_Number,Deaths_Tuberculosis_Sex_Both_Age_Under_5_Number,Indicator_Treatment_success_rate_new_TB_cases,Indicator_Treatment_success_rate_for_patients_treated_for_MDR_TB,Indicator_Treatment_success_rate_XDR_TB_cases,Case_detection_rate_all_forms
2.1,Israel,ISR,1990,33,11,6,0,0,87,71,0,87
2.1,Israel,ISR,1991,36,11,6,0,0,84,33,0,87
2.1,Israel,ISR,1992,40,12,7,0,1,87,71,0,87
2.1,Israel,ISR,1993,44,13,7,0,1,87,71,0,87
2.1,Israel,ISR,1994,49,13,8,0,1,78,64,50,87
2.1,Israel,ISR,1994,49,13,8,0,1,83,80,100,87
2.1,Israel,ISR,1994,49,13,8,0,1,84,57,0,87
2.1,Israel,ISR,1994,49,13,8,0,1,88,91,100,87
2.1,Israel,ISR,1995,53,14,8,0,0,81,92,100,87
2.1,Israel,ISR,1995,53,14,8,0,0,83,80,100,87
2.1,Israel,ISR,1995,53,14,8,0,0,84,57,0,87
2.1,Israel,ISR,1995,53,14,8,0,0,88,91,100,87
2.1,Israel,ISR,1996,55,14,8,0,0,87,71,0,87
2.1,Israel,ISR,1997,56,14,9,0,0,84,33,0,87
2.1,Israel,ISR,1998,54,14,9,0,0,84,33,0,87
2.1,Israel,ISR,1999,52,13,8,0,0,78,64,50,87
2.1,Israel,ISR,1999,52,13,8,0,0,89,75,50,87
2.1,Israel,ISR,2000,49,12,8,0,0,79,67,100,87
2.1,Israel,ISR,2000,49,12,8,0,0,84,33,0,87
2.1,Israel,ISR,2000,49,12,8,0,0,89,75,50,87
2.1,Israel,ISR,2001,44,11,7,0,0,87,71,0,87
2.1,Israel,ISR,2002,41,10,7,0,0,84,33,0,87
2.1,Israel,ISR,2003,38,9,6,0,0,78,64,50,87
2.1,Israel,ISR,2003,38,9,6,0,0,89,75,50,87
2.1,Israel,ISR,2004,34,8,5,0,0,78,64,50,87
2.1,Israel,ISR,2004,34,8,5,0,0,79,67,100,87
2.1,Israel,ISR,2004,34,8,5,0,0,89,75,50,87
2.1,Israel,ISR,2005,32,8,5,0,0,84,33,0,87
2.1,Israel,ISR,2006,30,7,4,0,0,78,64,50,87
2.1,Israel,ISR,2006,30,7,4,0,0,81,92,100,87
2.1,Israel,ISR,2006,30,7,4,0,0,83,80,100,87
2.1,Israel,ISR,2006,30,7,4,0,0,84,57,0,87
2.1,Israel,ISR,2006,30,7,4,0,0,88,91,100,87
2.1,Israel,ISR,2007,28,7,4,0,0,78,64,50,87
2.1,Israel,ISR,2007,28,7,4,0,0,81,92,100,87
2.1,Israel,ISR,2007,28,7,4,0,0,83,80,100,87
2.1,Israel,ISR,2007,28,7,4,0,0,84,57,0,87
2.1,Israel,ISR,2007,28,7,4,0,0,88,91,100,87
2.1,Israel,ISR,2008,26,6,3,0,0,87,71,0,87
2.1,Israel,ISR,2009,23,5,3,0,0,87,71,0,87
2.1,Israel,ISR,2010,22,5,3,0,0,78,64,50,87
2.1,Israel,ISR,2010,22,5,3,0,0,83,80,100,87
2.1,Israel,ISR,2010,22,5,3,0,0,84,57,0,87
2.1,Israel,ISR,2010,22,5,3,0,0,88,91,100,87
2.1,Israel,ISR,2011,20,5,3,0,0,78,64,50,87
2.1,Israel,ISR,2011,20,5,3,0,0,83,80,100,87
2.1,Israel,ISR,2011,20,5,3,0,0,84,57,0,87
2.1,Israel,ISR,2011,20,5,3,0,0,88,91,100,87
2.1,Israel,ISR,2012,19,5,2,0,0,79,67,100,87
2.1,Israel,ISR,2012,19,5,2,0,0,84,33,0,87
2.1,Israel,ISR,2012,19,5,2,0,0,89,75,50,87
2.1,Israel,ISR,2013,18,5,2,0,0,79,67,100,87
2.1,Israel,ISR,2013,18,5,2,0,0,89,75,50,87
2.1,Israel,ISR,2014,17,4,2,0,0,87,71,0,87
2.1,Israel,ISR,2015,17,5,2,0,0,81,92,100,87
2.1,Israel,ISR,2015,17,5,2,0,0,84,57,0,87
2.1,Israel,ISR,2016,16,4,2,0,0,81,92,100,87
2.1,Israel,ISR,2016,16,4,2,0,0,83,80,100,87
2.1,Israel,ISR,2016,16,4,2,0,0,84,57,0,87
2.1,Israel,ISR,2016,16,4,2,0,0,88,91,100,87
2.1,Israel,ISR,2017,17,5,2,0,0,78,64,50,87
2.1,Israel,ISR,2017,17,5,2,0,0,89,75,50,87
2.1,Israel,ISR,2018,18,5,2,0,0,79,67,100,87
2.1,Israel,ISR,2018,18,5,2,0,0,84,33,0,87
2.1,Israel,ISR,2019,19,5,2,0,0,78,64,50,87
2.1,Israel,ISR,2019,19,5,2,0,0,81,92,100,87
2.1,Israel,ISR,2019,19,5,2,0,0,83,80,100,87
2.1,Israel,ISR,2019,19,5,2,0,0,84,57,0,87
2.1,Israel,ISR,2019,19,5,2,0,0,88,91,100,87
2.3,United States,USA,1990,1208,640,405,6,13,80,69,100,87
2.3,United States,USA,1990,1208,640,405,6,13,83,79,100,87
2.3,United States,USA,1991,1168,599,387,6,12,85,78,0,87
2.3,United States,USA,1992,1124,554,361,5,11,66,70,0,87
2.3,United States,USA,1992,1124,554,361,5,11,80,79,60,87
2.3,United States,USA,1993,1106,525,340,5,10,66,70,0,87
2.3,United States,USA,1993,1106,525,340,5,10,80,79,60,87
2.3,United States,USA,1994,1064,487,312,5,9,80,69,100,87
2.3,United States,USA,1994,1064,487,312,5,9,83,79,100,87
2.3,United States,USA,1995,1029,454,286,5,8,80,69,100,87
2.3,United States,USA,1995,1029,454,286,5,8,83,69,100,87
2.3,United States,USA,1995,1029,454,286,5,8,83,79,100,87
